idx	version	length	adr	time
0	sequential	100000000	random	2.243591e+01
1	sequential	10000000	random	2.260994e+00
2	sequential	1000000	random	2.070148e-01
3	sequential	100000	random	1.765430e-02
4	sequential	10000	random	1.598000e-03
5	sequential	1000	random	1.624000e-04
6	sequential	100	random	2.280000e-05
7	sequential	10	random	1.390000e-05
8	parallel	100000000	random	1.570220e+01
9	parallel	10000000	random	1.751810e+00
10	parallel	1000000	random	1.710540e-01
11	parallel	100000	random	1.745800e-02
12	parallel	10000	random	3.353800e-03
13	parallel	1000	random	1.528900e-03
14	parallel	100	random	1.634800e-03
15	parallel	10	random	1.605600e-03
16	parallel_single_task	100000000	random	1.612630e+01
17	parallel_single_task	10000000	random	1.869505e+00
18	parallel_single_task	1000000	random	1.806917e-01
19	parallel_single_task	100000	random	1.830970e-02
20	parallel_single_task	10000	random	3.138600e-03
21	parallel_single_task	1000	random	1.515400e-03
22	parallel_single_task	100	random	1.410000e-03
23	parallel_single_task	10	random	1.414800e-03
